School,Win.per,SOS,HomeW,HomeL,AwayW,AwayL,Pace,ORtg,FTr,ThreePAr,TS.per,TRB.per,AST.per,STL.per,BLK.per,eFG.per,TOV.per,ORB.per,FTperFGA,WinSOS,PPG,OPPG,GamesWon
Villanova NCAA,0.9,10.24,12,1,9,3,70.2,122.2,0.294,0.475,0.623,52.4,53.7,9.1,10.5,0.595,13.3,29.1,0.229,9.216,86.575,70.175,6
Duke NCAA,0.897,9.87,15,1,9,2,65.9,119.4,0.398,0.334,0.593,53.9,53.5,10.7,9,0.566,13.9,35.8,0.278,8.85339,79.25641026,64.15384615,6
North Carolina NCAA,0.825,11.76,16,0,6,5,72.6,116,0.348,0.303,0.55,58.2,58.9,9.7,9.7,0.519,13.4,41.3,0.244,9.702,84.425,70.6,6
Villanova NCAA,0.875,9.71,15,1,10,2,67.3,115.4,0.341,0.427,0.597,51.2,58.7,10.4,9.7,0.561,14.4,28,0.267,8.49625,77.95,63.575,6
Connecticut NCAA,0.8,8.63,14,3,6,4,65.5,108.9,0.383,0.343,0.562,50.2,50.3,10.7,15.2,0.515,15.2,30.4,0.298,6.904,71.825,63.225,6
Virginia NCAA,0.906,9.89,15,1,10,1,61.1,117.1,0.303,0.386,0.586,53.8,56.6,9.2,12.3,0.557,12.8,29.9,0.226,8.96034,71.84375,55.0625,6
Gonzaga NCAA,0.949,4.13,15,1,10,0,70.9,116.4,0.39,0.329,0.596,54.7,51.8,9.6,11.2,0.567,14.2,29.8,0.28,3.91937,82.61538462,61.48717949,5
Wisconsin NCAA,0.9,10.29,15,1,10,2,59.5,121.1,0.362,0.374,0.585,54.7,49.7,7.3,8.2,0.548,10.7,32.1,0.276,9.261,72.5,58.175,5
North Carolina NCAA,0.825,10.69,15,1,6,5,70.2,118,0.323,0.268,0.561,55.9,57.3,9.6,11.5,0.526,12.7,40.3,0.241,8.81925,82.775,70.025,5
Michigan NCAA,0.805,9.41,15,1,6,5,65.9,110.8,0.307,0.433,0.564,50.3,53.6,9.6,8.1,0.545,12.4,24.9,0.203,7.57505,73.63414634,63.31707317,5
Kentucky NCAA,0.725,9.9,16,2,5,5,65.9,112.4,0.518,0.276,0.543,56.6,44.4,7.1,14.9,0.5,14.5,41.4,0.353,7.1775,74.8,66.625,5
Texas Tech NCAA,0.813,7.61,17,1,6,3,67.7,107.5,0.335,0.355,0.569,51.5,51.3,10.7,15.3,0.537,16.1,28.5,0.244,6.18693,73.09375,59.28125,5
Kentucky NCAA,0.974,8.67,19,0,10,0,63.8,115.5,0.439,0.271,0.558,54.9,55,10.1,18.2,0.515,13.6,39.5,0.319,8.44458,74.35897436,54.30769231,4
Kansas NCAA,0.795,11.87,14,3,8,3,70.3,115.3,0.27,0.412,0.594,50.3,55.7,9.2,10.9,0.575,14.6,28.8,0.191,9.43665,81.38461538,71.87179487,4
Oregon NCAA,0.846,8.38,17,0,7,3,68.8,114.2,0.347,0.388,0.582,52.9,56.3,9.4,17.2,0.554,14.7,32.2,0.247,7.08948,78.87179487,65.76923077,4
Florida NCAA,0.923,8.54,17,0,10,2,62.9,111.1,0.424,0.346,0.552,53.8,53.9,11.2,8.6,0.522,14.5,34.7,0.283,7.88242,69.92307692,57.76923077,4
Oklahoma NCAA,0.784,11.14,14,1,7,5,71,111,0.33,0.407,0.573,51.4,52.8,9.3,12.6,0.543,15.8,31,0.238,8.73376,79.67567568,71.05405405,4
Wisconsin NCAA,0.789,10.19,14,3,8,3,63.3,115.7,0.426,0.391,0.575,51.1,50.5,7.6,8,0.533,11.2,28.1,0.318,8.03991,73.5,64,4
South Carolina NCAA,0.703,10.16,15,3,6,5,69.9,102.9,0.398,0.334,0.518,50.8,50.6,11,11.1,0.477,15.5,33.5,0.278,7.14248,73.16216216,65.24324324,4
Michigan State NCAA,0.692,10,12,4,7,4,63,109.7,0.327,0.35,0.55,53.9,63.7,8,12.6,0.532,14.9,33.4,0.207,6.92,71.1025641,63.64102564,4
Syracuse NCAA,0.622,9.75,13,4,3,7,64.9,106.7,0.354,0.421,0.533,49.3,55.8,12.4,12.6,0.501,15.3,33.4,0.243,6.0645,69.97297297,65.10810811,4
Loyola (IL) NCAA,0.842,1.81,14,1,9,4,66,108.4,0.319,0.357,0.602,51.3,59.7,9.6,6.8,0.577,17.3,21.8,0.231,1.52402,71.60526316,62.55263158,4
Michigan State NCAA,0.824,12.31,15,1,8,4,68.5,114.3,0.35,0.378,0.591,56.1,68.3,7.6,14.1,0.558,16.2,33.9,0.262,10.14344,78.82352941,65.52941176,4
Auburn NCAA,0.743,10.07,15,2,4,6,69.3,114,0.313,0.493,0.568,49.8,52.4,13.5,16.1,0.541,14.7,33,0.223,7.48201,79.57142857,68.11428571,4
Duke NCAA,0.784,9.71,15,1,6,5,70.7,118.5,0.346,0.363,0.586,55.5,57.6,10.4,12.4,0.559,14.7,38.6,0.246,7.61264,84.35135135,69.62162162,3
Arizona NCAA,0.895,7.41,17,0,8,3,66.5,114.7,0.471,0.259,0.575,56.8,52.3,10.8,9.8,0.535,14.2,34.5,0.338,6.63195,76.60526316,59.68421053,3
Kentucky NCAA,0.842,10.49,15,2,7,3,74.3,113.8,0.409,0.316,0.564,53.2,51.6,8.1,13,0.529,13.4,33.2,0.288,8.83258,84.86842105,71.47368421,3
Kansas NCAA,0.868,11.22,16,0,7,3,69.7,115,0.382,0.33,0.592,53.9,55.3,9.4,10.7,0.564,15.5,32.3,0.272,9.73896,81.28947368,67.63157895,3
Kansas NCAA,0.861,12.23,14,1,10,1,71.4,115.4,0.36,0.359,0.583,53,54.5,9.6,11.2,0.561,15.1,33.9,0.244,10.53003,83.19444444,71.88888889,3
Arizona NCAA,0.868,9.04,18,0,8,3,64.1,112.3,0.41,0.264,0.546,55.1,57.6,9,11.5,0.517,13.2,36.4,0.27,7.84672,72.86842105,58.55263158,3
Florida NCAA,0.75,11.01,9,1,8,4,70.1,110,0.402,0.366,0.556,51.3,47.2,10.7,11.8,0.516,14.6,31.8,0.293,8.2575,77.88888889,66.5,3
Virginia NCAA,0.784,11.12,15,0,5,6,61.5,115,0.321,0.284,0.58,53.2,57.2,8.7,10.2,0.548,13.2,29.8,0.241,8.71808,70.97297297,60.05405405,3
Gonzaga NCAA,0.921,5.12,15,1,10,1,65.2,120.3,0.387,0.317,0.606,55.5,57.2,9.1,8.4,0.584,13.9,34.1,0.267,4.71552,78.65789474,61.65789474,3
Texas Tech NCAA,0.73,9.6,17,1,4,6,68.5,108.2,0.393,0.335,0.555,52.6,54.9,10.3,12.8,0.52,15.4,32.3,0.276,7.008,74.56756757,64.78378378,3
Michigan State NCAA,0.763,9.38,12,4,7,3,66,113.3,0.337,0.363,0.573,53.7,62.2,10.2,13.4,0.545,14.7,32.2,0.239,7.15694,75.52631579,65.55263158,3
Notre Dame NCAA,0.842,7.02,17,2,7,2,63.7,120.4,0.367,0.376,0.612,49.8,54.9,10.4,9.1,0.583,12.9,27.9,0.272,5.91084,77.97368421,65.76315789,3
Michigan NCAA,0.757,9.65,13,2,7,4,62.5,117.5,0.349,0.401,0.592,50.1,55.6,8.2,6.3,0.557,12.7,28.6,0.266,7.30505,73.94594595,65.08108108,3
Louisville NCAA,0.75,8.98,15,4,7,3,65.6,104.5,0.387,0.314,0.512,51.8,47.7,11.9,14.4,0.477,14.4,34.7,0.258,6.735,68.97222222,59.83333333,3
Oregon NCAA,0.816,8.64,18,0,5,5,69.5,112.8,0.406,0.34,0.562,52.4,49.7,10.4,15.3,0.525,13.9,34.2,0.291,7.05024,78.68421053,68.78947368,3
Florida State NCAA,0.657,8.5,13,2,4,7,72.2,109.4,0.37,0.368,0.562,51.8,52.6,9.4,14,0.532,15.4,31.7,0.256,5.5845,80.17142857,72.88571429,3
Xavier NCAA,0.632,11.51,12,4,4,8,68.3,109,0.41,0.361,0.553,54.4,57,8.8,7.7,0.519,15.7,34.4,0.283,7.27432,74.63157895,71.34210526,3
Notre Dame NCAA,0.667,9.57,14,2,5,5,65,115.2,0.329,0.343,0.573,51.1,49.4,8.4,10.1,0.54,13.2,32.3,0.244,6.38319,75.11111111,70.58333333,3
Kansas State NCAA,0.676,8.74,14,3,6,5,66.6,106.3,0.338,0.368,0.56,47.4,54.4,11.9,9.3,0.525,15.3,25.5,0.248,5.90824,71.08108108,66.97297297,3
Dayton NCAA,0.703,5.34,13,4,7,4,65.4,109.6,0.406,0.319,0.555,52.7,51.9,9.1,7.3,0.524,15.5,34,0.277,3.75402,72.18918919,66.97297297,3
Duke NCAA,0.853,12.45,15,2,7,2,73.7,112.9,0.346,0.376,0.561,53.9,52.2,12.8,16.4,0.534,15,36.1,0.238,10.61985,83.5,67.55882353,3
Kentucky NCAA,0.818,10.44,17,1,8,2,67.9,112.6,0.425,0.298,0.574,56.6,52.1,8.8,14.2,0.533,15.9,36.5,0.314,8.53992,76.72727273,65.42424242,3
Gonzaga NCAA,0.909,4.49,17,0,9,1,71.6,124.1,0.36,0.353,0.627,54.3,55.9,10.5,13.4,0.596,12.8,30.6,0.276,4.08141,88.84848485,65.06060606,3
Purdue NCAA,0.719,11.96,15,0,6,6,66.3,113.9,0.294,0.445,0.557,53.8,53.9,9.7,13,0.527,13.5,34.9,0.215,8.59924,76.1875,66.8125,3
Louisville NCAA,0.838,4.8,16,2,9,2,69,117.4,0.412,0.351,0.562,52.1,54,14.5,12.5,0.535,12.8,37.1,0.272,4.0224,81.02702703,61.13513514,2
West Virginia NCAA,0.757,9.67,16,2,6,4,71.4,112.2,0.389,0.325,0.545,52.1,57.3,13.8,14.2,0.513,14.1,37.7,0.266,7.32019,81.45945946,66.67567568,2
Purdue NCAA,0.811,8.74,16,1,8,2,68.2,117.5,0.356,0.401,0.606,51.8,57.9,8.3,12.5,0.577,14,27.3,0.265,7.08814,80.37837838,65.7027027,2
Utah NCAA,0.743,7.42,16,1,6,5,62.6,113.5,0.432,0.372,0.588,53.7,57.6,9.5,13.5,0.557,16.1,31.6,0.303,5.51306,71.31428571,57.11428571,2
UCLA NCAA,0.861,6.39,16,1,8,2,74.2,121,0.268,0.376,0.618,52.4,63.7,7.9,12.5,0.598,13.4,28.9,0.198,5.50179,89.80555556,75.52777778,2
North Carolina NCAA,0.684,11.76,10,5,7,4,69.2,111.6,0.353,0.223,0.548,55.2,60.1,9.5,11.3,0.516,15.1,40,0.247,8.04384,77.71052632,68.84210526,2
Purdue NCAA,0.771,8.79,15,2,6,4,70,112.6,0.333,0.383,0.589,54.9,65.3,7.3,6.1,0.557,16.1,30.7,0.252,6.77709,79.71428571,68.37142857,2
West Virginia NCAA,0.703,9.36,14,3,5,5,70.6,113,0.313,0.384,0.543,52.5,54.2,11.5,15.9,0.504,13.3,36.5,0.24,6.58008,80.10810811,69.59459459,2
Baylor NCAA,0.771,11.87,15,2,6,4,65.3,111.5,0.338,0.328,0.562,56.5,59.1,7.9,13,0.53,17.1,40.2,0.244,9.15177,72.85714286,63.65714286,2
Indiana NCAA,0.771,6.9,17,0,6,4,69.1,119.2,0.338,0.409,0.612,54.9,54.8,9.9,9.8,0.587,16.7,37,0.248,5.3199,82.6,69.91428571,2
Wisconsin NCAA,0.73,9.4,15,2,5,5,64.5,110.7,0.329,0.369,0.542,54.7,51.9,10.3,9.8,0.521,14.3,35.7,0.212,6.862,72.37837838,62.37837838,2
Duke NCAA,0.694,10.59,15,3,5,4,68.4,117.7,0.405,0.398,0.573,49.5,48.6,9.1,9.8,0.537,12.2,33,0.293,7.34946,81.11111111,72.47222222,2
Michigan NCAA,0.684,10.17,15,3,3,8,63.8,116.5,0.301,0.451,0.601,47.9,52.6,9,7.4,0.57,12.8,24.5,0.234,6.95628,75.02631579,66.39473684,2
Oklahoma NCAA,0.686,9.94,14,1,5,6,67.4,105.2,0.328,0.338,0.532,51.1,48.6,10,12.9,0.493,15.1,31.5,0.243,6.81884,71.45714286,62.74285714,2
Miami (FL) NCAA,0.771,10.69,15,1,6,5,66.2,113.3,0.407,0.339,0.582,51.7,48.3,9.3,9.1,0.542,14.5,29.9,0.305,8.24199,75.22857143,67.4,2
Iowa State NCAA,0.778,9.88,15,1,4,6,71.7,113.9,0.364,0.375,0.569,51.1,62.4,8.2,7,0.542,12.6,28.8,0.252,7.68664,83.02777778,74.38888889,2
Texas A&M NCAA,0.757,8.45,17,1,5,5,68.8,109.6,0.381,0.373,0.542,53,61.8,10.1,10.5,0.512,14.3,33.8,0.256,6.39665,76.43243243,66.43243243,2
Gonzaga NCAA,0.865,2.59,15,1,10,1,69.8,118,0.321,0.394,0.593,56,50.1,8.9,9.6,0.57,13.9,32.4,0.227,2.24035,83.54054054,67.7027027,2
UCLA NCAA,0.757,7.62,16,2,5,5,70,115.1,0.382,0.275,0.579,51.2,59.3,13.1,9,0.541,12.7,29.8,0.286,5.76834,81.16216216,70.37837838,2
Virginia NCAA,0.811,7.86,15,2,7,4,60.6,108.8,0.42,0.297,0.542,54.7,56.6,8.6,12,0.508,13.8,33.2,0.283,6.37446,66.18918919,55.67567568,2
Arizona NCAA,0.865,7.63,15,1,9,1,67.3,113.8,0.405,0.305,0.58,55.1,51.3,8.1,8.8,0.537,14.5,33.1,0.31,6.59995,76.56756757,65.94594595,2
Butler NCAA,0.735,10.23,13,3,7,4,67.3,112.6,0.371,0.376,0.581,50.6,50,8.9,8.4,0.546,13.4,27.1,0.275,7.51905,76.32352941,68.85294118,2
Tennessee NCAA,0.649,7.84,14,3,4,7,62.8,114.2,0.416,0.308,0.545,56.2,50.9,8.2,12,0.503,13.7,39.8,0.299,5.08816,72.21621622,61.7027027,2
Kentucky NCAA,0.703,10.73,16,2,4,6,69.8,109.6,0.44,0.258,0.555,53.6,49,8,13.7,0.518,15.8,35.3,0.307,7.54319,76.75675676,70.24324324,2
Clemson NCAA,0.714,9.25,15,1,4,6,67.6,108.5,0.335,0.399,0.566,51.7,51.5,8.3,13.3,0.529,15.3,27,0.253,6.6045,73.82857143,65.91428571,2
Iowa State NCAA,0.657,10.16,14,2,4,7,71.5,113.1,0.261,0.351,0.59,49.7,53.1,8.6,9.8,0.571,14.1,26.1,0.183,6.67512,81.77142857,75,2
Gonzaga NCAA,0.778,4.23,11,4,9,2,68.1,115.4,0.34,0.355,0.587,55.2,49.6,7.5,7.7,0.553,14.7,32.3,0.258,3.29094,78.88888889,65.55555556,2
Maryland NCAA,0.75,8.31,16,1,4,6,67.3,112.1,0.384,0.381,0.594,51.9,51.7,8.6,13.9,0.555,16.6,28.6,0.295,6.2325,75.69444444,66.66666667,2
Baylor NCAA,0.684,10.11,13,4,5,5,64.2,115.1,0.45,0.344,0.556,54.8,58.7,8,14,0.521,14.7,40.6,0.306,6.91524,74.81578947,67.81578947,2
Wichita State NCAA,0.857,3.68,15,0,10,2,61.9,112.7,0.37,0.347,0.541,53.6,55.3,11.5,11.3,0.507,12.6,34.9,0.259,3.15376,70.28571429,57.37142857,2
Xavier NCAA,0.622,9.48,13,3,5,7,65.6,109.8,0.385,0.331,0.57,52.8,62.3,9,8.3,0.534,15.8,31.3,0.281,5.89656,73.2972973,67.35135135,2
Texas A&M NCAA,0.629,10.62,13,3,4,7,70.9,106,0.32,0.33,0.538,54.3,55.1,7.7,15.3,0.514,16.3,33.7,0.212,6.67998,75.17142857,70.48571429,2
West Virginia NCAA,0.714,9.29,12,3,5,5,68.7,104.9,0.404,0.336,0.499,52.1,56.7,15.5,8.7,0.461,15.1,40.2,0.267,6.63306,72.62857143,66.8,2
San Diego State NCAA,0.861,4.86,15,1,9,2,63.9,109.2,0.449,0.258,0.519,53.6,40.8,11.8,14.1,0.481,12.7,36.7,0.298,4.18446,70.27777778,57,2
Nevada NCAA,0.784,4.93,14,1,11,3,70.6,115.5,0.363,0.404,0.582,49.4,57,8.7,10.9,0.548,12,26.2,0.269,3.86512,82.56756757,73.05405405,2
North Carolina State NCAA,0.611,9.72,14,6,5,5,64.5,108,0.354,0.322,0.526,52.3,46.4,5.9,13.1,0.493,13.5,34,0.243,5.93892,70.13888889,65.75,2
Stanford NCAA,0.639,9,12,4,6,5,67.1,108,0.45,0.293,0.553,51.3,46.3,7.9,11.6,0.513,14.7,29.3,0.316,5.751,72.66666667,68.25,2
Wisconsin NCAA,0.629,9.4,13,5,6,5,64.1,105.1,0.38,0.342,0.524,52.3,49,9.1,8.6,0.485,14.6,33,0.267,5.9126,67.8,63.8,2
Syracuse NCAA,0.622,10.02,14,5,4,6,64.3,102.2,0.405,0.328,0.518,52.6,47.5,10.7,17.4,0.469,16.2,34.1,0.298,6.23244,66.64864865,63.78378378,2
UCLA NCAA,0.611,8.27,16,1,2,8,67.3,106.1,0.357,0.289,0.527,52.6,53.5,9.8,11,0.496,14.9,33.8,0.242,5.05297,71.94444444,68.13888889,2
Yale NCAA,0.767,-1.03,12,0,9,6,66.9,111.5,0.413,0.309,0.555,57.8,56.9,8.4,12.6,0.526,16.4,39.4,0.276,-0.79001,74.93333333,63.8,2
Michigan NCAA,0.824,10.89,17,1,7,4,65.4,107.6,0.27,0.402,0.545,50.2,54.2,9.4,10.6,0.521,12,24,0.189,8.97336,70.38235294,58.55882353,2
Tennessee NCAA,0.853,10.3,18,0,7,3,69.6,116.3,0.334,0.316,0.588,52.4,61,8.5,15.2,0.554,13.9,31.3,0.255,8.7859,81.79411765,68.64705882,2
Louisiana State NCAA,0.813,8.86,15,2,9,1,70.5,112.3,0.377,0.343,0.559,53.5,46.1,12.6,12,0.517,15.3,37.3,0.284,7.20318,81.375,73.03125,2
Florida State NCAA,0.794,10.63,15,1,6,4,69.2,106.7,0.363,0.383,0.547,53.3,49.8,9.9,12.5,0.507,16.5,33.1,0.269,8.44022,74.91176471,67.11764706,2
North Carolina NCAA,0.818,12.21,14,2,11,1,76.1,112.7,0.309,0.359,0.561,56.2,61.3,9.4,9.8,0.529,14.6,34.4,0.229,9.98778,86.06060606,72.93939394,2
Virginia Tech NCAA,0.75,7.98,14,2,5,5,64.3,114.2,0.315,0.45,0.595,52.1,59.6,10.3,8.7,0.564,15.4,29.7,0.238,5.985,74,62.09375,2
Houston NCAA,0.912,3.86,19,1,10,1,67.6,111.9,0.319,0.429,0.55,54.9,55.8,9.5,13.8,0.521,14.2,34.4,0.224,3.52032,75.61764706,61.23529412,2
Oregon NCAA,0.657,5.26,13,4,5,7,65.9,106.2,0.303,0.393,0.547,51.4,52.7,11.7,14.6,0.517,15.5,29.6,0.218,3.45582,70.48571429,62.94285714,2
Villanova NCAA,0.889,9.28,14,1,9,2,65.6,117.6,0.35,0.433,0.612,53,52.3,11,9,0.575,15,30,0.276,8.24992,77.19444444,62.66666667,1
Villanova NCAA,0.917,7.55,15,0,9,2,65,116.9,0.418,0.429,0.589,51.5,62.2,11.8,11,0.553,14,32.5,0.305,6.92335,76.5,60.91666667,1
Louisville NCAA,0.735,11.15,16,1,5,5,68.5,112,0.34,0.321,0.543,54.1,48.4,9.7,15.2,0.514,13.4,36.6,0.233,8.19525,77.29411765,65.97058824,1
Michigan State NCAA,0.857,7.1,16,1,8,1,68.2,117.2,0.359,0.363,0.601,57.6,67.6,6,18.5,0.569,16.4,36.8,0.268,6.0847,80.2,64.88571429,1
Virginia NCAA,0.882,7.81,15,1,11,1,58.6,110.8,0.349,0.275,0.543,56,53.5,9.3,13.3,0.506,13.4,34.2,0.254,6.88842,65.41176471,51.5,1
Duke NCAA,0.757,10.91,15,1,4,6,69.9,115.7,0.393,0.383,0.588,51.9,47.5,8.7,10.9,0.548,14.2,31.6,0.299,8.25887,80.83783784,70.18918919,1
Wichita State NCAA,0.861,2.96,16,1,9,1,69.4,116.7,0.401,0.364,0.579,56.1,59.1,9.4,11.4,0.543,13.9,34.2,0.294,2.54856,81,62.38888889,1
Virginia NCAA,0.676,10.93,12,4,7,5,60.3,107.9,0.26,0.33,0.548,52.3,56.4,9.1,13.9,0.524,13.7,28.2,0.184,7.38868,66.05882353,56.35294118,1
Iowa State NCAA,0.686,11.94,12,3,5,6,70.6,112.5,0.276,0.393,0.572,47.7,53.6,10.8,8.9,0.55,12.6,25.6,0.194,8.19084,80.82857143,72.25714286,1
Cincinnati NCAA,0.861,3.53,15,1,9,2,66.2,112.2,0.36,0.353,0.543,55.6,60.4,10.7,15.8,0.512,14.1,38.4,0.249,3.03933,74.25,57.52777778,1
Kansas NCAA,0.714,11.4,14,1,5,6,68.6,114.3,0.483,0.287,0.58,55.5,54.8,8.4,14.6,0.542,16.3,37.3,0.343,8.1396,78.97142857,70.11428571,1
Kentucky NCAA,0.75,8.84,17,0,4,7,68.2,115.3,0.378,0.31,0.564,53.6,49.8,8.3,14.1,0.535,13.3,36.8,0.261,6.63,79.47222222,68.08333333,1
North Carolina NCAA,0.703,11.78,12,3,6,5,71.7,113.4,0.28,0.351,0.551,56.4,61,8,11.1,0.52,14,37.4,0.208,8.28134,81.56756757,73.27027027,1
Ohio State NCAA,0.686,7.37,18,2,4,6,66,113.2,0.347,0.319,0.567,51.5,55.4,11.4,14.6,0.542,14.6,33.5,0.236,5.05582,75.28571429,62.97142857,1
Xavier NCAA,0.829,9.45,17,1,9,2,72.4,115.4,0.41,0.358,0.601,55.1,57.3,8,8.4,0.559,15.2,29.9,0.32,7.83405,84.37142857,74.74285714,1
Villanova NCAA,0.853,7.5,15,1,10,2,67.6,113.2,0.445,0.448,0.574,52.6,60.1,10.1,11.2,0.536,14.9,32.6,0.318,6.3975,77.97058824,66.5,1
Florida State NCAA,0.743,8.87,18,0,3,6,72.6,113.1,0.384,0.313,0.566,52.7,49.3,10.2,13.7,0.537,14.1,33.6,0.265,6.59041,82.08571429,72.08571429,1
Xavier NCAA,0.824,8.43,15,1,8,3,72.4,111.2,0.417,0.342,0.556,54.9,59.1,10,8.4,0.514,14.8,35.2,0.305,6.94632,80.5,70.35294118,1
Kansas NCAA,0.75,12.13,15,0,5,5,66.7,106.3,0.426,0.284,0.539,52.6,54.7,9.8,12.3,0.494,16.3,34.9,0.309,9.0975,71.13888889,64.80555556,1
Cincinnati NCAA,0.833,5.49,18,0,8,3,65.1,113.3,0.325,0.361,0.547,53.3,57.5,11.1,13.9,0.52,12.9,35.5,0.223,4.57317,74.27777778,61.33333333,1
Tennessee NCAA,0.743,10.12,13,2,8,4,67.1,109.3,0.355,0.357,0.549,51.4,62.1,9.4,12.8,0.508,15.2,33.3,0.269,7.51916,73.82857143,65.74285714,1
Creighton NCAA,0.771,7.17,16,0,7,4,65.3,120.6,0.339,0.446,0.616,51.7,64.2,6.1,3.8,0.589,13.3,27.7,0.252,5.52807,78.74285714,67.88571429,1
Notre Dame NCAA,0.722,9.78,16,2,5,4,67.7,113.8,0.286,0.406,0.573,48.7,57.8,10.4,9.7,0.536,12.3,27.3,0.229,7.06116,77.30555556,69.27777778,1
Ohio State NCAA,0.735,9.03,16,2,6,2,68,110.9,0.311,0.342,0.57,53.6,52.5,8.9,11.3,0.541,14.9,29.8,0.227,6.63705,76.20588235,67.55882353,1
Pittsburgh NCAA,0.722,7.54,13,5,7,2,62.4,113,0.443,0.269,0.55,54.5,62.9,11.1,8.6,0.507,13.7,37.3,0.315,5.44388,71.83333333,61.91666667,1
Wichita State NCAA,0.743,4.24,14,1,9,3,66.1,108.8,0.38,0.381,0.531,53.1,56.4,10.9,11.6,0.49,12.7,31.7,0.272,3.15032,72.42857143,59.02857143,1
Iowa NCAA,0.667,8.71,13,2,6,5,69.1,111.5,0.33,0.355,0.546,50.6,57.7,9.7,12.5,0.513,12.6,31.8,0.237,5.80957,77.60606061,69.3030303,1
Butler NCAA,0.6,10.55,14,3,3,7,69.7,110.9,0.261,0.374,0.57,51.3,47.9,9.3,8.2,0.54,13.9,27.1,0.202,6.33,78.94285714,72.57142857,1
Saint Mary's (CA) NCAA,0.853,2.19,15,2,10,1,61.3,117.6,0.278,0.414,0.602,57.2,63.1,6.9,8.5,0.578,15.2,33,0.207,1.86807,72.02941176,57.47058824,1
Florida NCAA,0.618,10.08,12,5,5,4,68.4,109.6,0.326,0.403,0.54,48.5,49.8,10.1,12.7,0.507,12.3,28.7,0.234,6.22944,75.79411765,69.20588235,1
Wichita State NCAA,0.972,1.74,17,0,12,0,64.5,116.1,0.472,0.367,0.569,55.3,54.8,10.6,15,0.526,13.6,35.1,0.342,1.69128,75.16666667,59.47222222,1
Butler NCAA,0.676,8.62,13,3,7,4,64.2,105.9,0.408,0.287,0.522,54.2,47.5,9.8,8.8,0.484,14.3,34.7,0.279,5.82712,69,60.97058824,1
